CBSA Code,"CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10","latitude","longitude"
12540,"Bakersfield, CA","212","157","45","8","2",".","166","62","42.5",".","1","49",".","153","9","35.3732","119.0187"
13860,"Bishop, CA","205","119","79","5","1","1","247","87","48",".",".","177",".","6","22","37.3614","118.3997"
17020,"Chico, CA","177","145","31","1",".",".","102","55","38",".",".","67",".","110",".","39.7285","121.8375"
17340,"Clearlake, CA","33","33",".",".",".",".","33","22","8",".",".",".",".","23","10","38.9582","122.6264"
18860,"Crescent City, CA","12","12",".",".",".",".","45","43","25",".",".",".",".","12",".","41.7558","124.2026"
20940,"El Centro, CA","211","118","89","3","1",".","185","74","48",".",".","89",".","94","28","32.7920","115.5631"
21700,"Eureka-Arcata-Fortuna, CA","182","178","4",".",".",".","64","40","30","1",".","137",".","22","22","40.7450","123.8695"
23420,"Fresno, CA","243","119","106","18",".",".","140","97","51",".","1","188",".","45","9","36.7378","119.7871"
25260,"Hanford-Corcoran, CA","243","142","92","9",".",".","130","84","48",".",".","168",".","50","25","36.3275","119.6457"
31080,"Los Angeles-Long Beach-Anaheim, CA","182","62","110","9","1",".","151","95","57","1","16","107",".","56","2","34.0522","118.2437"
31460,"Madera, CA","69","69",".",".",".",".","41","37","28",".","3","53",".","13",".","36.9613","120.0607"
32900,"Merced, CA","71","64","6","1",".",".","116","49","28",".",".",".",".","66","5","37.3022","120.4830"
33700,"Modesto, CA","136","114","21","1",".",".","103","59","35","1",".","74",".","52","9","37.6391","120.9969"
34900,"Napa, CA","213","196","15","2",".",".","119","48","36","1",".","151",".","61",".","38.2975","122.2869"
37100,"Oxnard-Thousand Oaks-Ventura, CA","212","138","73","1",".",".","112","68","44",".",".","164",".","47","1","34.2805","119.2945"
39780,"Red Bluff, CA","186","162","24",".",".",".","74","51","37",".",".","179",".","1","6","40.1785","122.2358"
39820,"Redding, CA","211","187","24",".",".",".","77","51","43",".",".","205",".","5","1","40.5865","122.3917"
40140,"Riverside-San Bernardino-Ontario, CA","243","38","132","59","14",".","192","147","77",".","7","162",".","47","27","34.0633","117.6509"
40900,"Sacramento--Roseville--Arden-Arcade, CA","212","114","86","12",".",".","129","90","50",".",".","167",".","44","1","38.5816","121.4944"
41500,"Salinas, CA","182","170","11","1",".",".","144","46","37.5","1",".","159",".","22",".","36.6777","121.6555"
41740,"San Diego-Carlsbad, CA","181","82","97","2",".",".","101","70","52",".",".","61",".","120",".","32.7157","117.1611"
41860,"San Francisco-Oakland-Hayward, CA","213","159","48","5","1",".","194","61","42","1","11","120","1","80",".","37.7749","122.4194"
41940,"San Jose-Sunnyvale-Santa Clara, CA","213","166","44","3",".",".","136","58","41","1",".","142",".","70",".","37.3382","121.8863"
42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA","181","148","33",".",".",".","87","58","43",".",".","159",".","15","7","35.2828","120.6596"
42100,"Santa Cruz-Watsonville, CA","181","172","9",".",".",".","70","47","38",".",".","142",".","39",".","36.9741","122.0308"
42200,"Santa Maria-Santa Barbara, CA","182","164","18",".",".",".","93","50","42","1",".","164",".","15","2","34.9530","120.4357"
42220,"Santa Rosa, CA","213","203","9",".","1",".","154","45","36","1","1","155",".","56",".","38.4404","122.7141"
43760,"Sonora, CA","119","116","3",".",".",".","58","45","37",".",".","119",".",".",".","37.9829","120.3822"
44700,"Stockton-Lodi, CA","136","105","25","6",".",".","137","71","35","1","3","62",".","55","15","37.9577","121.2908"
46020,"Truckee-Grass Valley, CA","210","165","42","3",".",".","112","64","44",".",".","188",".","22",".","39.2191","121.0611"
46380,"Ukiah, CA","90","78","12",".",".",".","75","54","37",".",".","49",".","41",".","39.1502","123.2078"
46700,"Vallejo-Fairfield, CA","213","174","38","1",".",".","119","56","40","1",".","122",".","90",".","38.3105","121.9018"
47300,"Visalia-Porterville, CA","211","99","82","30",".",".","143","112","52",".","1","158",".","52",".","36.3302","119.2921"
49700,"Yuba City, CA","206","174","30","2",".",".","110","57","33.5",".",".","55",".","151",".","39.1404","121.6169"
